epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.204,1.16742,1.50643,1.22317,0.65153,0.52902,0.61618,0.45773,1.07696,1.1223,1.12665,8.33e-06,8.33e-06,8.33e-06
2,242.019,1.19836,1.368,1.24651,0.64679,0.56226,0.62803,0.47004,1.073,1.08526,1.12563,1.74966e-05,1.74966e-05,1.74966e-05
3,379.891,1.2286,1.36646,1.26481,0.66888,0.58505,0.64463,0.48512,1.06687,1.06586,1.12086,2.62861e-05,2.62861e-05,2.62861e-05
4,505.211,1.13105,1.27785,1.23423,0.68974,0.59179,0.65988,0.4979,1.056,1.04014,1.11324,3.46987e-05,3.46987e-05,3.46987e-05
5,621.54,1.1411,1.22279,1.21549,0.69374,0.60334,0.67058,0.50693,1.04321,1.00531,1.10631,4.27343e-05,4.27343e-05,4.27343e-05
6,749.593,1.06354,1.17408,1.18196,0.69329,0.63183,0.68636,0.52231,1.03612,0.98224,1.09877,5.03929e-05,5.03929e-05,5.03929e-05
7,882.081,1.17037,1.24329,1.21912,0.73504,0.63815,0.69403,0.52683,1.03076,0.95866,1.09424,5.76745e-05,5.76745e-05,5.76745e-05
8,973.413,1.08848,1.19368,1.18219,0.73368,0.64941,0.70797,0.54241,1.02327,0.93713,1.08768,6.45792e-05,6.45792e-05,6.45792e-05
9,1071.16,1.05596,1.14708,1.18139,0.7732,0.65787,0.71999,0.54973,1.00765,0.9073,1.07985,7.11068e-05,7.11068e-05,7.11068e-05
10,1158.13,1.0951,1.08075,1.15738,0.75431,0.66734,0.72646,0.55553,0.99754,0.88927,1.07474,7.72574e-05,7.72574e-05,7.72574e-05
11,1231.7,1.01688,1.05658,1.13437,0.75617,0.67474,0.74858,0.57634,0.98588,0.86263,1.0694,8.30311e-05,8.30311e-05,8.30311e-05
12,1324.15,1.11551,1.11434,1.16221,0.75919,0.67163,0.75329,0.58483,0.98033,0.84599,1.06648,8.84277e-05,8.84277e-05,8.84277e-05
13,1401.11,1.0537,1.10453,1.17892,0.78937,0.67605,0.76086,0.59079,0.9717,0.82681,1.06105,9.07256e-05,9.07256e-05,9.07256e-05
14,1471.29,1.06366,1.05555,1.16345,0.80803,0.67177,0.76496,0.59641,0.96508,0.80841,1.0584,8.83694e-05,8.83694e-05,8.83694e-05
15,1530.65,1.04625,1.02992,1.17065,0.77174,0.71074,0.77155,0.60142,0.95627,0.79388,1.05409,8.60132e-05,8.60132e-05,8.60132e-05
16,1579.6,0.98331,0.97603,1.11593,0.8336,0.68782,0.78151,0.60647,0.94618,0.78431,1.04989,8.3657e-05,8.3657e-05,8.3657e-05
17,1630.96,0.99122,0.96881,1.12726,0.85574,0.67922,0.79145,0.6096,0.93884,0.77428,1.04569,8.13008e-05,8.13008e-05,8.13008e-05
18,1706.02,1.02537,1.05146,1.1571,0.87472,0.67997,0.79764,0.61716,0.93831,0.7649,1.0444,7.89446e-05,7.89446e-05,7.89446e-05
19,1780.69,1.02941,0.96264,1.13385,0.87264,0.68243,0.80167,0.61893,0.93238,0.753,1.04105,7.65884e-05,7.65884e-05,7.65884e-05
20,1852.75,0.99161,0.9552,1.11165,0.85492,0.68602,0.80008,0.61931,0.92459,0.74238,1.03705,7.42322e-05,7.42322e-05,7.42322e-05
21,1924.19,0.98707,0.89819,1.11621,0.84856,0.7091,0.81195,0.62788,0.9164,0.73184,1.03235,7.1876e-05,7.1876e-05,7.1876e-05
22,1998.19,0.97728,0.90869,1.10856,0.84643,0.71647,0.80781,0.63427,0.90753,0.72262,1.02645,6.95198e-05,6.95198e-05,6.95198e-05
23,2065.75,1.02607,0.93525,1.12798,0.84387,0.72239,0.80979,0.63589,0.89787,0.71477,1.02036,6.71636e-05,6.71636e-05,6.71636e-05
24,2139.69,0.93736,0.89072,1.10177,0.83769,0.72822,0.8126,0.6438,0.89122,0.70532,1.01589,6.48074e-05,6.48074e-05,6.48074e-05
25,2219.54,1.01329,0.91293,1.09267,0.85448,0.72863,0.81977,0.64501,0.88488,0.69684,1.01156,6.24512e-05,6.24512e-05,6.24512e-05
26,2289.43,0.95426,0.8752,1.0821,0.80964,0.76069,0.82227,0.65394,0.88025,0.68722,1.00769,6.0095e-05,6.0095e-05,6.0095e-05
27,2351.48,0.95578,0.86904,1.08671,0.82367,0.7421,0.82163,0.65546,0.87666,0.68518,1.00544,5.77388e-05,5.77388e-05,5.77388e-05
28,2422.17,0.97561,0.88527,1.10101,0.83192,0.76559,0.82619,0.65774,0.86963,0.68146,1.00213,5.53826e-05,5.53826e-05,5.53826e-05
29,2483.31,0.97566,0.90538,1.10341,0.7998,0.77462,0.8246,0.65727,0.86437,0.67966,0.99944,5.30264e-05,5.30264e-05,5.30264e-05
30,2544.69,0.89974,0.82476,1.08315,0.83742,0.77455,0.82934,0.65927,0.85672,0.67449,0.99659,5.06702e-05,5.06702e-05,5.06702e-05
31,2604.03,0.92204,0.83649,1.08563,0.83428,0.77082,0.82607,0.65914,0.85193,0.66587,0.99533,4.8314e-05,4.8314e-05,4.8314e-05
32,2664.33,0.95599,0.90449,1.09369,0.84482,0.76625,0.82926,0.66288,0.84714,0.65649,0.99477,4.59578e-05,4.59578e-05,4.59578e-05
33,2733.42,0.92199,0.85063,1.09101,0.83339,0.76916,0.83078,0.66157,0.84346,0.64995,0.99275,4.36016e-05,4.36016e-05,4.36016e-05
